Key	Value
3640	15
362a	13
362b	17
362c	22
362d	16
362e	13
362f	17
3638	16
3639	13
3630	24
3631	18
3632	15
3633	25
3634	14
3635	18
3636	17
3637	18
3650	19
3651	14
363a	22
363b	14
363c	12
363d	18
363e	11
363f	13
3649	8
3641	11
3642	16
3643	18
3644	14
3645	15
3646	13
3647	14
3648	15
3660	14
3661	12
3662	12
364a	11
364b	17
364c	17
364d	15
364e	11
364f	18
3652	16
3653	15
3654	11
3655	15
3656	21
3657	21
3658	14
3659	15
3670	18
3671	15
3672	27
3673	13
365b	15
365c	18
365d	16
365e	20
365f	14
365a	14
3663	14
3664	15
3665	24
3666	12
3667	19
3668	18
3669	13
3680	21
3681	12
3682	16
3683	18
3684	14
366c	6
366d	16
366e	14
366f	23
366a	10
366b	13
3674	16
3675	19
3676	22
3677	13
3678	12
3679	13
3690	13
3691	15
3692	17
3693	17
3694	14
3695	11
367d	16
367e	19
367f	16
367a	10
367b	20
367c	19
3685	13
3686	13
3687	24
3688	9
3689	13
368e	15
368f	10
368a	21
368b	23
368c	11
368d	18
3696	20
3697	10
3698	15
3699	17
369f	10
369a	14
369b	22
369c	15
369d	17
369e	14
35a7	19
35a8	14
35a9	17
35a0	8
35a1	14
35a2	17
35a3	8
35a4	18
35a5	10
35a6	25
35b8	11
35b9	18
6b06	10
35b0	17
35b1	16
6b07	19
6b04	14
35b2	19
6b05	21
35b3	24
35b4	12
35b5	13
6b08	15
35b6	15
35b7	12
6b09	14
6b02	13
6b03	18
6b00	20
6b01	18
35c9	13
6b0b	8
6b0c	15
6b0a	18
6b17	20
35c1	12
35c2	17
6b18	12
35c3	11
6b15	11
6b16	20
35c4	5
35c5	12
35c6	12
35c7	12
6b19	13
35c8	18
6b10	17
6b13	16
6b14	19
6b11	14
6b12	15
35c0	13
35aa	15
35ab	15
35ac	19
35ad	14
35ae	16
35af	18
6b1c	14
6b1d	18
6b1a	11
6b1b	13
6b28	19
35d2	20
35d3	15
6b29	15
35d4	7
6b26	10
35d5	16
6b27	7
35d6	19
35d7	11
35d8	18
35d9	23
6b20	22
6b21	10
6b24	12
6b25	16
35d0	25
6b22	13
6b23	10
35d1	22
6b0f	19
35ba	18
6b0d	6
35bb	20
6b0e	13
35bc	11
35bd	24
35be	12
35bf	15
6b2a	8
6b2d	16
6b2e	9
6b2b	17
bb19	13
6b2c	13
35da	17
bb17	9
35e3	22
6b39	22
bb18	22
35e4	14
