NumIterations	Number of Unique Keys	Max Files in each Directory	Min Files in Each Directory	Mean	Median	Standard Deviation
10000	9291	3	1	1.0763104079216446	1.0	0.28200733499506464
20000	17293	5	1	1.1565373272422368	1.0	0.4040543283490893
30000	24141	5	1	1.2426991425375917	1.0	0.508289501466778
40000	30119	6	1	1.328065340814768	1.0	0.6004023344056271
50000	35144	7	1	1.422717960391532	1.0	0.6852836246063836
60000	39356	7	1	1.5245451773554224	1.0	0.7699854302040998
70000	43071	8	1	1.6252234682268811	1.0	0.845722132104684
80000	46241	8	1	1.730066391297766	1.0	0.9217648823821178
90000	48933	9	1	1.8392495861688432	2.0	0.9900237793414152
100000	51280	9	1	1.9500780031201248	2.0	1.0569047146354127
110000	53290	9	1	2.0641771439294425	2.0	1.1250613641669929
120000	55030	9	1	2.1806287479556605	2.0	1.1900959502508917
130000	56567	11	1	2.298159704421306	2.0	1.254033310702179
140000	57864	11	1	2.4194663348541408	2.0	1.3146637663208856
150000	58959	11	1	2.544140843637104	2.0	1.3742320043942315
160000	59917	11	1	2.670360665587396	2.0	1.4300701431343725
170000	60733	12	1	2.7991372071196876	3.0	1.4863783878263992
180000	61394	12	1	2.9318825943903315	3.0	1.5392971323376081
190000	61975	13	1	3.065752319483663	3.0	1.5926569057177586
200000	62477	13	1	3.2011780335163342	3.0	1.6425952637861192
210000	62882	13	1	3.339588435482332	3.0	1.693568004520086
220000	63246	14	1	3.4784808525440343	3.0	1.7420098829113713
230000	63543	15	1	3.619596178965425	3.0	1.7877335812782094
240000	63811	15	1	3.7611070191659746	4.0	1.8372119507438214
250000	64043	15	1	3.90362725044111	4.0	1.8806793085351106
260000	64234	15	1	4.0477005947006255	4.0	1.9230286343332297
270000	64436	15	1	4.1902042336582035	4.0	1.9668036840316765
280000	64595	16	1	4.334700828237479	4.0	2.008218149537155
290000	64724	17	1	4.4805636240034605	4.0	2.0505498750750997
300000	64849	17	1	4.62613147465651	4.0	2.0927636723170235
310000	64960	17	1	4.772167487684729	5.0	2.1316509898181946
320000	65047	17	1	4.919519731886175	5.0	2.1683056588857266
330000	65126	18	1	5.0671006971102175	5.0	2.2071803894398947
340000	65178	18	1	5.216484089723527	5.0	2.2435119239888826
350000	65231	18	1	5.36554705584768	5.0	2.279010386604581
360000	65270	18	1	5.515550789030183	5.0	2.3123217481228835
370000	65311	18	1	5.66520188023457	5.0	2.348531301893605
380000	65354	18	1	5.814487254031888	6.0	2.3823828686326394
390000	65387	18	1	5.96448835395415	6.0	2.4129911989142734
400000	65409	19	1	6.115366386888654	6.0	2.44411444969546
410000	65431	19	1	6.266142959759136	6.0	2.4752458080838906
420000	65447	19	1	6.417406451021437	6.0	2.5094540345583
430000	65459	19	1	6.568997387677783	6.0	2.5409616477017933
440000	65470	20	1	6.72063540552925	7.0	2.5723394451303463
450000	65478	20	1	6.872537340786218	7.0	2.602151672502443
460000	65488	20	1	7.024187637429758	7.0	2.633851656365417
470000	65495	20	1	7.176120314527827	7.0	2.6633529903893116
480000	65498	20	1	7.328468044825796	7.0	2.6918759056145825
